CMDLINE /Users/ruben/opt/anaconda3/bin/python main.py
MEM 0.109375 1704232439.1629
MEM 15.453125 1704232439.2641
MEM 24.695312 1704232439.3655
MEM 35.921875 1704232439.4668
MEM 43.851562 1704232439.5716
MEM 47.960938 1704232439.6736
MEM 55.863281 1704232439.7756
MEM 55.917969 1704232439.8807
MEM 58.136719 1704232439.9844
MEM 73.617188 1704232440.0884
MEM 79.710938 1704232440.1921
MEM 86.179688 1704232440.2934
MEM 92.789062 1704232440.3948
MEM 96.921875 1704232440.4957
MEM 101.453125 1704232440.5975
MEM 107.406250 1704232440.6979
MEM 114.628906 1704232440.8001
MEM 120.863281 1704232440.9043
MEM 125.968750 1704232441.0081
MEM 131.281250 1704232441.1130
MEM 135.984375 1704232441.2161
MEM 138.980469 1704232441.3179
MEM 151.261719 1704232441.4209
MEM 202.449219 1704232441.5221
MEM 216.902344 1704232441.6223
MEM 227.769531 1704232441.7272
MEM 236.902344 1704232441.8295
MEM 242.511719 1704232441.9308
MEM 252.863281 1704232442.0321
MEM 262.734375 1704232442.1336
MEM 267.476562 1704232442.2380
MEM 276.312500 1704232442.3414
MEM 285.945312 1704232442.4428
MEM 297.882812 1704232442.5435
MEM 303.871094 1704232442.6456
MEM 314.121094 1704232442.7468
MEM 323.367188 1704232442.8481
MEM 331.027344 1704232442.9491
MEM 337.261719 1704232443.0508
MEM 343.171875 1704232443.1546
MEM 346.953125 1704232443.2588
MEM 360.468750 1704232443.3602
MEM 361.421875 1704232443.4616
MEM 371.667969 1704232443.5628
MEM 381.464844 1704232443.6645
MEM 389.433594 1704232443.7656
MEM 389.679688 1704232443.8706
MEM 389.921875 1704232443.9730
MEM 390.050781 1704232444.0748
MEM 390.234375 1704232444.1781
MEM 391.128906 1704232444.2823
MEM 399.824219 1704232444.3843
MEM 400.652344 1704232444.4855
MEM 402.273438 1704232444.5878
MEM 402.648438 1704232444.6883
MEM 403.582031 1704232444.7896
MEM 406.609375 1704232444.8935
MEM 408.957031 1704232444.9977
MEM 410.796875 1704232445.0984
MEM 411.937500 1704232445.1996
MEM 411.964844 1704232445.3029
MEM 412.519531 1704232445.4051
MEM 413.539062 1704232445.5098
MEM 414.050781 1704232445.6144
MEM 414.304688 1704232445.7178
MEM 414.617188 1704232445.8205
MEM 414.636719 1704232445.9209
MEM 414.640625 1704232446.0211
MEM 414.656250 1704232446.1233
MEM 414.671875 1704232446.2243
MEM 414.671875 1704232446.3273
MEM 414.679688 1704232446.4318
MEM 414.687500 1704232446.5349
MEM 414.687500 1704232446.6351
MEM 414.695312 1704232446.7403
MEM 414.703125 1704232446.8407
MEM 414.710938 1704232446.9437
MEM 414.718750 1704232447.0472
MEM 414.718750 1704232447.1475
MEM 414.761719 1704232447.2479
MEM 414.761719 1704232447.3509
MEM 414.761719 1704232447.4552
MEM 414.761719 1704232447.5593
MEM 414.761719 1704232447.6637
MEM 414.761719 1704232447.7656
MEM 414.781250 1704232447.8698
MEM 414.796875 1704232447.9733
MEM 414.796875 1704232448.0746
MEM 414.804688 1704232448.1784
MEM 414.804688 1704232448.2827
MEM 414.808594 1704232448.3837
MEM 414.808594 1704232448.4866
MEM 414.808594 1704232448.5894
MEM 414.808594 1704232448.6943
MEM 414.808594 1704232448.7953
MEM 414.828125 1704232448.8977
MEM 414.828125 1704232448.9987
MEM 414.828125 1704232449.0991
MEM 414.828125 1704232449.2042
MEM 414.828125 1704232449.3079
MEM 414.828125 1704232449.4116
MEM 414.828125 1704232449.5148
MEM 414.820312 1704232449.6164
MEM 414.820312 1704232449.7170
MEM 414.820312 1704232449.8202
MEM 414.820312 1704232449.9206
MEM 414.820312 1704232450.0210
MEM 414.820312 1704232450.1224
MEM 414.820312 1704232450.2246
MEM 414.820312 1704232450.3284
MEM 414.835938 1704232450.4326
MEM 414.839844 1704232450.5364
MEM 414.839844 1704232450.6406
MEM 414.839844 1704232450.7415
MEM 414.839844 1704232450.8456
MEM 414.839844 1704232450.9492
MEM 414.839844 1704232451.0543
MEM 414.839844 1704232451.1593
MEM 414.839844 1704232451.2637
MEM 414.839844 1704232451.3657
MEM 414.839844 1704232451.4666
MEM 414.839844 1704232451.5702
MEM 414.839844 1704232451.6735
MEM 414.839844 1704232451.7785
MEM 414.839844 1704232451.8788
MEM 414.839844 1704232451.9790
MEM 414.839844 1704232452.0832
MEM 414.839844 1704232452.1872
MEM 414.839844 1704232452.2884
MEM 414.839844 1704232452.3890
MEM 414.839844 1704232452.4904
MEM 414.839844 1704232452.5929
MEM 414.839844 1704232452.6934
MEM 414.839844 1704232452.7940
MEM 414.839844 1704232452.8972
MEM 414.839844 1704232452.9976
MEM 414.839844 1704232453.1003
MEM 414.839844 1704232453.2040
MEM 414.839844 1704232453.3075
MEM 414.839844 1704232453.4081
MEM 414.839844 1704232453.5096
MEM 414.839844 1704232453.6106
MEM 414.839844 1704232453.7116
MEM 414.839844 1704232453.8131
MEM 414.839844 1704232453.9145
MEM 414.839844 1704232454.0160
MEM 414.839844 1704232454.1198
MEM 414.839844 1704232454.2202
MEM 414.839844 1704232454.3212
MEM 414.839844 1704232454.4240
MEM 414.839844 1704232454.5269
MEM 414.839844 1704232454.6312
MEM 414.839844 1704232454.7316
MEM 414.839844 1704232454.8326
MEM 414.839844 1704232454.9375
MEM 414.839844 1704232455.0379
MEM 414.839844 1704232455.1386
MEM 414.839844 1704232455.2389
MEM 414.843750 1704232455.3416
MEM 414.843750 1704232455.4463
MEM 414.843750 1704232455.5504
MEM 414.843750 1704232455.6537
MEM 414.843750 1704232455.7545
MEM 414.843750 1704232455.8558
MEM 414.843750 1704232455.9570
MEM 414.843750 1704232456.0588
MEM 414.843750 1704232456.1598
MEM 414.843750 1704232456.2600
MEM 414.843750 1704232456.3627
MEM 414.843750 1704232456.4664
MEM 414.843750 1704232456.5714
MEM 414.792969 1704232456.6723
MEM 414.792969 1704232456.7726
MEM 414.792969 1704232456.8727
MEM 414.003906 1704232456.9780
MEM 412.113281 1704232457.0825
MEM 409.570312 1704232457.1867
MEM 408.808594 1704232457.2887
MEM 408.554688 1704232457.3890
MEM 408.554688 1704232457.4936
MEM 408.554688 1704232457.5960
MEM 408.554688 1704232457.6963
MEM 408.554688 1704232457.8009
MEM 408.554688 1704232457.9038
MEM 408.554688 1704232458.0071
MEM 408.554688 1704232458.1096
MEM 408.554688 1704232458.2137
MEM 408.000000 1704232458.3156
MEM 408.015625 1704232458.4208
MEM 408.023438 1704232458.5225
MEM 408.027344 1704232458.6262
MEM 409.414062 1704232458.7314
MEM 409.578125 1704232458.8324
MEM 409.578125 1704232458.9373
MEM 409.601562 1704232459.0404
MEM 409.605469 1704232459.1454
MEM 409.617188 1704232459.2484
MEM 409.617188 1704232459.3498
MEM 409.640625 1704232459.4546
MEM 409.652344 1704232459.5595
MEM 409.652344 1704232459.6644
MEM 409.652344 1704232459.7679
MEM 409.687500 1704232459.8721
MEM 409.703125 1704232459.9751
MEM 409.703125 1704232460.0801
MEM 409.703125 1704232460.1816
MEM 409.726562 1704232460.2827
MEM 409.726562 1704232460.3872
MEM 414.437500 1704232460.4910
MEM 414.531250 1704232460.5932
MEM 414.800781 1704232460.6937
MEM 414.984375 1704232460.7949
MEM 415.000000 1704232460.8979
MEM 415.851562 1704232460.9983
MEM 416.523438 1704232461.1032
MEM 416.535156 1704232461.2052
MEM 418.761719 1704232461.3092
MEM 425.683594 1704232461.4137
MEM 425.734375 1704232461.5180
MEM 427.863281 1704232461.6213
MEM 432.015625 1704232461.7262
MEM 432.027344 1704232461.8298
MEM 434.078125 1704232461.9314
MEM 436.179688 1704232462.0349
MEM 438.253906 1704232462.1359
MEM 440.304688 1704232462.2378
MEM 442.386719 1704232462.3416
MEM 444.437500 1704232462.4430
MEM 446.535156 1704232462.5440
MEM 448.640625 1704232462.6458
MEM 450.722656 1704232462.7470
MEM 452.816406 1704232462.8476
MEM 454.921875 1704232462.9519
MEM 457.019531 1704232463.0539
MEM 459.136719 1704232463.1578
MEM 461.207031 1704232463.2610
MEM 463.230469 1704232463.3618
MEM 465.281250 1704232463.4669
MEM 469.503906 1704232463.5710
MEM 469.535156 1704232463.6725
MEM 471.859375 1704232463.7745
MEM 475.980469 1704232463.8779
MEM 476.027344 1704232463.9781
MEM 478.113281 1704232464.0793
MEM 489.718750 1704232464.1839
MEM 507.941406 1704232464.2876
MEM 527.203125 1704232464.3894
MEM 544.257812 1704232464.4911
MEM 544.527344 1704232464.5922
MEM 544.738281 1704232464.6933
MEM 544.746094 1704232464.7946
MEM 544.746094 1704232464.8997
MEM 544.746094 1704232465.0032
MEM 544.804688 1704232465.1040
MEM 544.851562 1704232465.2043
MEM 524.625000 1704232465.3050
MEM 535.042969 1704232465.4102
MEM 556.109375 1704232465.5151
MEM 584.113281 1704232465.6165
MEM 645.792969 1704232465.7174
MEM 635.250000 1704232465.8190
MEM 638.531250 1704232465.9197
MEM 524.523438 1704232466.0204
MEM 516.699219 1704232466.1216
MEM 516.699219 1704232466.2220
MEM 463.949219 1704232466.3259
MEM 457.882812 1704232466.4302
MEM 418.503906 1704232466.5345
MEM 418.445312 1704232466.6375
